,year,cpi,anni,bm,gg,g,gpc,ge,gi,gne,sd,tr,tarbc,Class
0,2002,46.0963443572496,192900000000.0,38.6613917176345,6.44772204681594,240253216295.117,3687.95609325031,40705000000.0,47109000000.0,97.772156015873,57.937006114002,28348030216.9613,189374.3076923077,0
1,2003,56.05427877429,255800000000.0,33.9299625709292,5.76320606654714,314592428076.487,4760.1040190451,52472000000.0,65883000000.0,100.212741835185,64.7368918377141,35548509276.1176,155574.12711124937,0
2,2004,60.8739723467862,336400000000.0,33.2017964803931,9.79593638920282,408876042651.701,6101.63211660696,68833000000.0,91271000000.0,101.576331728854,82.7281247146627,37304121308.7358,130685.20605148945,0
3,2005,65.852952167414,421100000000.0,38.6785675365284,8.99230493626517,506308311476.63,7456.2961006749,78509000000.0,111445000000.0,102.38982191776,74.1342687447844,52493941950.0754,114707.54451302793,2
4,2006,72.1730194319881,464300000000.0,40.3975176037227,6.94798808571993,557057829051.453,8101.85692374776,93778000000.0,134672000000.0,103.973203186042,67.7390462142721,63264841173.6432,107641.14249586477,2
5,2007,78.4926195814649,569000000000.0,41.7264237590794,5.04350793157104,681337335021.874,9791.88245001167,115379000000.0,162210000000.0,104.071765349092,56.3976261475517,76496127491.481,109486.0,3
6,2008,86.6904895366218,642800000000.0,46.1090278731947,0.815024573007705,770462156204.38,10941.172146426,140906000000.0,193823000000.0,103.415672042652,71.2755000329079,73674684815.6172,115999.0,3
7,2009,92.1094917787743,535700000000.0,51.7595288646851,-4.82315395301769,649272568774.193,9103.47405061243,109732000000.0,134494000000.0,100.046668654856,65.3609686905665,74933099954.2986,108003.0,2
8,2010,100.0,650800000000.0,52.8836046931277,8.42710432276191,776992599946.766,10742.7749787626,120992000000.0,177317000000.0,104.306198586639,89.8470028815497,85959461665.9826,118944.24091498714,3
9,2011,106.471879671151,708200000000.0,50.6352349030026,11.2001105833504,838762755164.179,11420.5554558378,142392000000.0,231552000000.0,107.316773128366,92.7434010293091,87937253858.338,152271.0,1
10,2012,115.938901345291,743900000000.0,49.6706643786638,4.78849271108008,880556375779.51,11795.6334567571,161948000000.0,227315000000.0,104.109051615,84.0346598025293,119182965975.41,193749.0,1
11,2013,124.626307922272,812000000000.0,52.1925534642962,8.48581699653026,957783020853.031,12614.7816100386,167397000000.0,249282000000.0,104.94127978965,99.4179130059985,131053847400.859,188515.0,1
12,2014,135.661434977578,792900000000.0,51.4928366915281,4.9397151613658,938952628604.067,12157.9904337823,173293000000.0,239865000000.0,103.355217766577,106.006499266386,127421921235.759,198687.0,1
13,2015,146.067825112108,727400000000.0,52.4415854965147,6.08448690443663,864316670330.882,11006.2795239649,154865000000.0,203874000000.0,102.025988922937,95.1504026173984,110489628113.015,194769.0,1
14,2016,157.424794469357,729300000000.0,55.2227191372775,3.32308420845746,869692960365.551,10894.6033779275,152645000000.0,192568000000.0,102.161167971645,96.595909076641,104810530764.478,193824.0,1
15,2017,174.96870328849,716700000000.0,53.8543290565447,7.50199748917491,858996263095.858,10589.667724687,169214000000.0,227789000000.0,103.683324058392,111.337698187265,107657025384.516,215220.0,1
16,2018,203.545403587444,658000000000.0,53.1509315977613,2.97988523467896,778471901665.148,9454.34844272271,178909000000.0,219635000000.0,100.248613235892,125.266413794466,92997230040.5605,211109.0,3
17,2019,234.437126307922,632300000000.0,58.7730893866967,0.889585160591679,761004425605.414,9121.51516673708,182200000000.0,198981000000.0,97.4171715203982,116.552217164548,105619672447.934,248754.0,3
18,2020,263.223561285501,601800000000.0,67.5006166955152,1.79355139618684,719954821683.31,8536.43331960632,168387000000.0,206250000000.0,103.810891743821,148.043724190609,93511562720.3207,331480.0,3
